Figure,en,de,fr
1,SSH,GSW,SHS
1,MINT,MINT,MINT
1,LS,LW,SV
1,Grants,Förderbeiträge,Subsides
1,Applications,Gesuche,Requêtes
2,SSH,GSW,SHS
2,MINT,MINT,MINT
2,LS,LW,SV
2,Total,Total,Total
2,Male,Männer,Hommes
2,Female,Frauen,Femmes
3,SSH,GSW,SHS
3,MINT,MINT,MINT
3,LS,LW,SV
3,Total,Total,Total
3,Male,Männer,Hommes
3,Female,Frauen,Femmes
4,University of Zurich,Universität Zürich,Université de Zurich
4,University of Geneva,Universität Genf,Université de Genève
4,University of Basel,Universität Basel,Université de Bâle
4,University of Bern,Universität Bern,Université de Berne
4,ETH Zurich,ETH Zürich,ETH Zurich
4,University of Lausanne,Universität Lausanne,Université de Lausanne
4,EPFL,EPFL,EPFL
4,University of Fribourg,Universität Freiburg,Université de Fribourg
4,University of Neuchâtel,Universität Neuenburg,Université de Neuchâtel
4,University of Lucerne,Universität Luzern,Université de Lucerne
4,University of St. Gallen,Universität St. Gallen,Université de Saint-Gall
4,IHEID,IHEID,IHEID
4,Bern Academy of Arts (BFH),Hochschule der Künste Bern (BFH),Haute école des arts de Berne (BFH)
4,Università della Svizzera italiana,Università della Svizzera italiana,Université de la Suisse italienne
4,Basel Academy of Music (FHNW),Hochschule für Musik Basel (FHNW),Haute école de musique de Bâle (FHNW)
4,Zurich University of the Arts (ZHdk),Zürcher Hochschule der Künste (ZHdk),Haute école des arts de Zurich (ZHdK)
5,SSH,GSW,SHS
5,MINT,MINT,MINT
5,LS,LW,SV
5,Total,Total,Total
6,SSH,GSW,SHS
6,MINT,MINT,MINT
6,LS,LW,SV
6,Total,Total,Total
6,Male,Männer,Hommes
6,Female,Frauen,Femmes
7,SSH,GSW,SHS
7,MINT,MINT,MINT
7,LS,LW,SV
7,Total,Total,Total
7,Host institution of SNSF professorship,Gastinstitution SNF-Förderungsprofessur,Institution d'accueil du ou de la professeur·e boursier
7,Other institution in CH,Andere Institution CH,Autre institution en Suisse
7,Outside CH,Ausland,À l'étranger
